match_id,stage,group,date,time_et,time_local,team_1,team_2,stadium,city,cat1_price,cat1_available,cat2_price,cat2_available,country,status
1,Group Stage,A,11-06-2026,15:00,13:00,Mexico,South Africa,Estadio Azteca,Mexico City,2000,130,500,130,Mexico,Available
2,Group Stage,A,11-06-2026,22:00,20:00,Korea Republic,Czechia,Estadio Akron,Guadalajara,2000,125,500,125,Mexico,Available
3,Group Stage,B,12-06-2026,15:00,15:00,Canada,Bosnia and Herzegovina,BMO Field,Toronto,2000,120,500,120,Canada,Available
4,Group Stage,D,12-06-2026,21:00,18:00,United States,Paraguay,SoFi Stadium,Los Angeles,2000,150,500,150,United States,Available
5,Group Stage,C,13-06-2026,21:00,21:00,Haiti,Scotland,Gillette Stadium,Boston,2000,130,500,130,United States,Available
6,Group Stage,D,13-06-2026,00:00,21:00,Australia,Türkiye,BC Place,Vancouver,2000,125,500,125,Canada,Available
7,Group Stage,C,13-06-2026,18:00,18:00,Brazil,Morocco,MetLife Stadium,New York/New Jersey,2000,120,500,120,United States,Available
8,Group Stage,B,13-06-2026,15:00,12:00,Qatar,Switzerland,Levi's Stadium,San Francisco Bay Area,2000,150,500,150,United States,Available
9,Group Stage,E,14-06-2026,19:00,19:00,Côte d’Ivoire,Ecuador,Lincoln Financial Field,Philadelphia,2000,130,500,130,United States,Available
10,Group Stage,E,14-06-2026,13:00,12:00,Germany,Curaçao,NRG Stadium,Houston,2000,125,500,125,United States,Available
11,Group Stage,F,14-06-2026,16:00,15:00,Netherlands,Japan,AT&T Stadium,Dallas,2000,120,500,120,United States,Available
12,Group Stage,F,14-06-2026,22:00,20:00,Sweden,Tunisia,Estadio BBVA,Monterrey,2000,150,500,150,Mexico,Available
13,Group Stage,H,15-06-2026,18:00,18:00,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami,2000,130,500,130,United States,Available
14,Group Stage,H,15-06-2026,12:00,12:00,Spain,Cabo Verde,Mercedes-Benz Stadium,Atlanta,2000,125,500,125,United States,Available
15,Group Stage,G,15-06-2026,21:00,18:00,Iran,New Zealand,SoFi Stadium,Los Angeles,2000,120,500,120,United States,Available
16,Group Stage,G,15-06-2026,15:00,12:00,Belgium,Egypt,Lumen Field,Seattle,2000,150,500,150,United States,Available
17,Group Stage,I,16-06-2026,15:00,15:00,France,Senegal,MetLife Stadium,New York/New Jersey,2000,130,500,130,United States,Available
18,Group Stage,I,16-06-2026,18:00,18:00,Iraq,Norway,Gillette Stadium,Boston,2000,125,500,125,United States,Available
19,Group Stage,J,16-06-2026,21:00,20:00,Argentina,Algeria,Arrowhead Stadium,Kansas City,2000,120,500,120,United States,Available
20,Group Stage,J,16-06-2026,00:00,21:00,Austria,Jordan,Levi's Stadium,San Francisco Bay Area,2000,150,500,150,United States,Available
21,Group Stage,L,17-06-2026,19:00,19:00,Ghana,Panama,BMO Field,Toronto,2000,130,500,130,Canada,Available
22,Group Stage,L,17-06-2026,16:00,15:00,England,Croatia,AT&T Stadium,Dallas,2000,125,500,125,United States,Available
23,Group Stage,K,17-06-2026,13:00,12:00,Portugal,Congo DR,NRG Stadium,Houston,2000,120,500,120,United States,Available
24,Group Stage,K,17-06-2026,22:00,20:00,Uzbekistan,Colombia,Estadio Azteca,Mexico City,2000,150,500,150,Mexico,Available
25,Group Stage,A,18-06-2026,12:00,12:00,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta,2000,130,500,130,United States,Available
26,Group Stage,B,18-06-2026,15:00,12:00,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Los Angeles,2000,125,500,125,United States,Available
27,Group Stage,B,18-06-2026,18:00,15:00,Canada,Qatar,BC Place,Vancouver,2000,120,500,120,Canada,Available
28,Group Stage,A,18-06-2026,21:00,19:00,Mexico,Korea Republic,Estadio Akron,Guadalajara,2000,150,500,150,Mexico,Available
29,Group Stage,C,19-06-2026,21:00,21:00,Brazil,Haiti,Lincoln Financial Field,Philadelphia,2000,130,500,130,United States,Available
